Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2018-06-29 09:02PM,2018-06-30 06:39AM,507,69,28.0,576,116.0,311.0,80.0
2018-06-27 10:20PM,2018-06-28 06:46AM,446,60,26.0,506,89.0,298.0,59.0
2018-06-23 10:27PM,2018-06-24 05:12AM,359,46,21.0,405,95.0,197.0,67.0
2018-06-22 11:29PM,2018-06-23 05:53AM,347,37,27.0,384,79.0,213.0,55.0
2018-06-21 09:25PM,2018-06-22 05:51AM,476,30,23.0,506,115.0,254.0,107.0
2018-06-19 11:45PM,2018-06-20 01:22AM,95,1,,96,,,
2018-06-19 01:41AM,2018-06-19 06:40AM,255,44,10.0,299,48.0,155.0,52.0
2018-06-17 11:24PM,2018-06-18 06:21AM,375,41,20.0,416,69.0,293.0,13.0
2018-06-17 01:30PM,2018-06-17 02:38PM,67,0,,67,,,
2018-06-10 12:14PM,2018-06-10 01:15PM,54,7,,61,,,
2018-06-03 07:55PM,2018-06-03 09:50PM,106,8,,114,,,
2018-07-31 10:13PM,2018-08-01 05:58AM,422,43,20.0,465,115.0,244.0,63.0
2018-07-30 10:57PM,2018-07-31 06:01AM,380,44,22.0,424,103.0,258.0,19.0
2018-07-28 10:32PM,2018-07-29 06:50AM,493,5,,498,,,
2018-07-27 10:45PM,2018-07-28 06:38AM,448,25,,473,,,
2018-07-27 03:11AM,2018-07-27 06:50AM,212,7,,219,,,
2018-07-26 11:32PM,2018-07-27 01:12AM,91,9,,100,,,
2018-07-25 10:26PM,2018-07-26 06:06AM,420,40,24.0,460,115.0,237.0,68.0
2018-07-24 10:42PM,2018-07-25 06:29AM,402,64,24.0,466,127.0,205.0,70.0
2018-07-23 10:04PM,2018-07-24 06:48AM,465,59,31.0,524,148.0,255.0,62.0
2018-07-21 10:34PM,2018-07-22 06:28AM,436,38,24.0,474,135.0,235.0,66.0
2018-07-20 10:27PM,2018-07-21 06:32AM,410,75,25.0,485,100.0,254.0,56.0
2018-07-18 10:03PM,2018-07-19 06:32AM,466,42,35.0,508,139.0,247.0,80.0
2018-07-17 10:53PM,2018-07-18 06:01AM,381,47,21.0,428,111.0,230.0,40.0
2018-07-17 12:56AM,2018-07-17 06:02AM,268,38,16.0,306,47.0,181.0,40.0
2018-07-15 08:15PM,2018-07-16 04:29AM,435,58,27.0,493,84.0,262.0,89.0
2018-07-14 08:09PM,2018-07-15 04:42AM,460,53,30.0,513,83.0,304.0,73.0
2018-07-13 08:50PM,2018-07-14 04:34AM,417,47,32.0,464,121.0,215.0,81.0
2018-07-12 08:51PM,2018-07-13 05:12AM,499,1,,500,,,
2018-07-11 08:34PM,2018-07-12 05:28AM,476,58,35.0,534,152.0,249.0,75.0
2018-07-10 09:02PM,2018-07-11 05:43AM,456,65,20.0,521,117.0,273.0,66.0
2018-07-09 09:40PM,2018-07-10 05:40AM,404,76,27.0,480,71.0,284.0,49.0
2018-07-08 10:50PM,2018-07-09 05:23AM,354,39,22.0,393,72.0,205.0,77.0
